"","site","date","spacing_m","temp_avg","sal_avg","dist_from_bags","reclaimed","absent","consumed"
"425","styron",20200828,3,28.25,26,2.5,20,1,"0"
"426","styron",20200828,3,28.25,26,2.5,20,1,"0"
"427","styron",20200828,3,28.25,26,2.5,20,1,"0"
"428","styron",20200828,3,28.25,26,2.5,20,1,"0"
"429","styron",20200828,3,28.25,26,2.5,20,1,"0"
"430","styron",20200828,3,28.25,26,2.5,20,1,"0"
"431","styron",20200828,3,28.25,26,2.5,20,1,"0"
"432","styron",20200828,3,28.25,26,2.5,20,1,"0"
"433","styron",20200828,3,28.25,26,2.5,20,1,"0"
"434","styron",20200828,3,28.25,26,2.5,20,1,"0"
"435","styron",20200828,3,28.25,26,2.5,20,1,"0"
"436","styron",20200828,3,28.25,26,5,20,4,"1"
"437","styron",20200828,3,28.25,26,5,20,4,"1"
"438","styron",20200828,3,28.25,26,5,20,4,"1"
"439","styron",20200828,3,28.25,26,5,20,4,"0"
"440","styron",20200828,3,28.25,26,5,20,4,"0"
"441","styron",20200828,3,28.25,26,5,20,4,"0"
"442","styron",20200828,3,28.25,26,5,20,4,"0"
"443","styron",20200828,3,28.25,26,5,20,4,"0"
"444","styron",20200828,3,28.25,26,5,20,4,"0"
"445","styron",20200828,3,28.25,26,5,20,4,"0"
"446","styron",20200828,3,28.25,26,5,20,4,"0"
"447","styron",20200828,3,28.25,26,5,20,4,"0"
"448","styron",20200828,3,28.25,26,5,20,4,"0"
"449","styron",20200828,3,28.25,26,5,20,4,"0"
"450","styron",20200828,3,28.25,26,5,20,4,"0"
"451","styron",20200828,3,28.25,26,5,20,4,"0"
"452","styron",20200828,3,28.25,26,5,20,4,"0"
"453","styron",20200828,3,28.25,26,5,20,4,"0"
"454","styron",20200828,3,28.25,26,5,20,4,"0"
"455","styron",20200828,3,28.25,26,10,19,2,"1"
"456","styron",20200828,3,28.25,26,10,19,2,"0"
"457","styron",20200828,3,28.25,26,10,19,2,"0"
"458","styron",20200828,3,28.25,26,10,19,2,"0"
"459","styron",20200828,3,28.25,26,10,19,2,"0"
"460","styron",20200828,3,28.25,26,10,19,2,"0"
"461","styron",20200828,3,28.25,26,10,19,2,"0"
"462","styron",20200828,3,28.25,26,10,19,2,"0"
"463","styron",20200828,3,28.25,26,10,19,2,"0"
"464","styron",20200828,3,28.25,26,10,19,2,"0"
"465","styron",20200828,3,28.25,26,10,19,2,"0"
"466","styron",20200828,3,28.25,26,10,19,2,"0"
"467","styron",20200828,3,28.25,26,10,19,2,"0"
"468","styron",20200828,3,28.25,26,10,19,2,"0"
